DateTime,volume,BidAsk,open,high,low,close,Up,Down
2023-03-31 05:36:00,270,-9,13088.75,13088.75,13085.0,13085.0,1,0
2023-03-31 05:38:00,148,-34,13085.25,13086.5,13084.0,13084.5,1,0
2023-03-31 05:40:00,114,11,13084.75,13087.25,13084.25,13086.75,1,0
2023-03-31 05:42:00,164,6,13086.5,13088.75,13086.0,13088.5,1,0
2023-03-31 05:44:00,174,-8,13088.75,13090.75,13087.0,13090.75,1,0
2023-03-31 05:46:00,213,-30,13090.0,13092.25,13088.25,13090.5,1,0
2023-03-31 05:48:00,152,-52,13090.25,13091.0,13085.25,13086.0,1,0
2023-03-31 05:50:00,148,-12,13086.25,13087.75,13084.75,13085.0,1,0
2023-03-31 05:52:00,343,-79,13084.75,13085.25,13078.5,13078.75,1,0
2023-03-31 05:54:00,220,-36,13078.5,13080.0,13076.5,13078.0,1,0
2023-03-31 05:56:00,177,40,13077.5,13080.0,13076.5,13079.25,1,0
2023-03-31 05:58:00,275,82,13079.0,13084.0,13079.0,13081.0,1,0
2023-03-31 06:00:00,216,-68,13080.75,13081.75,13077.0,13079.5,1,0
2023-03-31 06:02:00,157,-5,13079.25,13080.75,13076.0,13076.25,1,0
2023-03-31 06:04:00,278,-34,13076.0,13078.0,13073.5,13075.25,1,0
2023-03-31 06:06:00,113,-7,13075.0,13078.0,13074.75,13075.25,1,0
2023-03-31 06:08:00,212,-28,13075.5,13076.25,13073.0,13073.5,1,0
2023-03-31 06:10:00,409,-99,13073.0,13073.0,13070.0,13071.25,1,0
2023-03-31 06:12:00,194,-5,13071.75,13073.5,13070.0,13073.0,1,0
2023-03-31 06:14:00,164,-6,13073.5,13074.5,13071.75,13072.25,1,0
2023-03-31 06:16:00,197,55,13072.0,13076.5,13072.0,13075.0,1,0
2023-03-31 06:18:00,113,-25,13074.75,13076.25,13073.25,13073.5,1,0
2023-03-31 06:20:00,165,-13,13073.25,13073.75,13070.75,13071.25,1,0
2023-03-31 06:22:00,132,29,13071.0,13075.25,13071.0,13075.0,1,0
2023-03-31 06:24:00,208,14,13075.25,13077.0,13074.0,13074.75,1,0
2023-03-31 06:26:00,242,-76,13074.5,13074.5,13071.0,13072.75,1,0
2023-03-31 06:28:00,180,26,13072.5,13076.0,13072.5,13075.5,1,0
2023-03-31 06:30:00,228,41,13075.25,13080.25,13074.5,13079.0,1,0
2023-03-31 06:32:00,151,-38,13079.25,13079.25,13075.5,13078.0,1,0
2023-03-31 06:34:00,166,-40,13077.5,13077.5,13075.0,13075.75,1,0
2023-03-31 06:36:00,124,-33,13075.75,13077.0,13073.75,13073.75,1,0
2023-03-31 06:38:00,295,11,13074.25,13075.0,13071.5,13074.5,1,0
2023-03-31 06:40:00,160,9,13074.25,13077.0,13073.75,13075.5,1,0
2023-03-31 06:42:00,115,-17,13075.75,13075.75,13073.0,13073.75,1,0
2023-03-31 06:44:00,200,-18,13073.25,13076.0,13071.25,13071.75,1,0
2023-03-31 06:46:00,81,2,13071.75,13073.0,13071.0,13071.75,1,0
